id,SiteName,FeederId,EventId,Phase,First Event,Last Event,Cause,Weather,Isolation Equipment Code,Failed Equipment Code,Details
1,Site0006,F_0000041,3042,4,39:06.0,39:06.0,Equipment,Unknown,Fuse,Other,"Equipment, Device UG, Damaged."
2,Site0012,F_0000037,3048,3,29:36.0,29:51.0,Equipment,Unknown,Breaker,Capacitor,"Equipment, Capacitor Station, Damaged."
3,Site0006,F_0000041,3067,2,10:46.0,10:46.0,Weather,Wind,Breaker,No Damage,"Undetermined, Wind / Weather Related."
4,Site0012,F_0000037,3127,2,33:30.0,33:30.0,Equipment,Unknown,Fuse,Transformer,"Equipment, Transformer UG, Damaged."
6,Site0006,F_0000041,3152,2,39:58.0,39:58.0,Equipment,Unknown,Fuse,Transformer,"Equipment, Transformer UG, Damaged."
7,Site0006,F_0000039,3153,6,46:21.0,46:21.0,Vehicle,Unknown,Fuse,Pole,"Motor Vehicle, Pole OH, Down."
8,Site0012,F_0000037,3162,7,24:53.0,25:33.0,Vehicle,Unknown,Breaker,Pole,"Motor Vehicle, Pole OH, Contact."
9,Site0012,F_0000037,3163,7,24:53.0,25:33.0,Vehicle,Unknown,Breaker,Pole,"Motor Vehicle, Pole OH, Contact."
10,Site0012,F_0000037,3164,7,24:53.0,25:33.0,Vehicle,Unknown,Breaker,Pole,"Motor Vehicle, Pole OH, Contact."
12,Site0012,F_0000037,3166,7,24:53.0,25:33.0,Vehicle,Unknown,Breaker,Pole,"Motor Vehicle, Pole OH, Contact."
13,Site0012,F_0000037,3168,7,24:53.0,25:33.0,Vehicle,Unknown,Breaker,Pole,"Motor Vehicle, Pole OH, Contact."
14,Site0012,F_0000037,3186,7,25:46.0,26:05.0,Vehicle,Unknown,Sectionalizer,Pole,"Motor Vehicle, Pole OH, Damaged."
15,Site0012,F_0000037,3187,7,25:46.0,26:05.0,Vehicle,Unknown,Sectionalizer,Pole,"Motor Vehicle, Pole OH, Damaged."
16,Site0012,F_0000037,3188,7,25:46.0,26:05.0,Vehicle,Unknown,Sectionalizer,Pole,"Motor Vehicle, Pole OH, Damaged."
17,Site0012,F_0000037,3189,7,25:46.0,26:05.0,Vehicle,Unknown,Sectionalizer,Pole,"Motor Vehicle, Pole OH, Damaged."
22,Site0006,,3235,7,33:08.0,33:08.0,Unknown,Unknown,Unknown,Unknown,Unknown.
23,Site0006,F_0000041,3296,2,32:24.0,32:24.0,Equipment,Unknown,Fuse,Cable,"Equipment, Cable UG, Damaged. (Dig in)"
25,Site0006,F_0000041,3298,2,35:38.0,36:04.0,Equipment,Unknown,Fuse,Cable,"Equipment, Cable UG, Damaged."
26,Site0012,,3326,7,51:18.0,51:18.0,Unknown,Lightning,Unknown,Unknown,Unknown.
27,Site0005,,3402,6,17:46.0,17:46.0,Unknown,Unknown,Unknown,Unknown,Unknown.
28,Site0006,F_0000041,3403,1,31:31.3,31:37.1,Equipment,Unknown,Fuse,Cable,"Equipment, Cable UG, Dig-in."
